fid,cat,from_cat,to_cat,cost
"25185","59","4","15",11868.043
"25186","66","5","7",31881.864
"25187","67","5","8",41474.881
"25188","74","5","15",10546.485
"25189","187","13","7",35282.18
"25190","188","13","8",44875.197
"25191","194","13","15",13946.801
"25192","94","7","4",33052.04
"25193","95","7","5",31721.498
"25194","102","7","13",35098.268
"25195","109","8","4",42645.782
"25196","110","8","5",41315.24
"25197","117","8","13",44692.01
"25198","214","15","4",11740.967
"25199","215","15","5",10410.425
"25200","223","15","13",13787.195
"25201","3","1","4",12235.1
"25202","4","1","5",13145.34
"25203","18","2","4",10373.923
"25204","19","2","5",11284.163
"25205","33","3","4",15060.545
"25206","34","3","5",15970.785
"25207","79","6","4",9943.27
"25208","80","6","5",10853.51
"25209","124","9","4",26294.264
"25210","125","9","5",27204.504
"25211","139","10","4",22901.087
"25212","140","10","5",23811.327
"25213","154","11","4",18018.809
"25214","155","11","5",18929.049
"25215","169","12","4",24737.471
"25216","170","12","5",25647.711
"25217","199","14","4",17210.186
"25218","61","5","1",13424.031
"25219","62","5","2",10791.239
"25220","63","5","3",16054.306
"25221","65","5","6",10725.128
"25222","68","5","9",27157.792
"25223","69","5","10",23778.847
"25224","70","5","11",19076.824
"25225","71","5","12",25673.049
"25226","46","4","1",12589.482
"25227","47","4","2",9956.69
"25228","48","4","3",15219.757
"25229","50","4","6",9890.579
"25230","53","4","9",26323.243
"25231","54","4","10",22944.298
"25232","55","4","11",18242.275
"25233","56","4","12",24838.5
"25234","58","4","14",17054.15
"25235","46","4","1",12589.482
"25236","47","4","2",9956.69
"25237","48","4","3",15219.757
"25238","50","4","6",9890.579
"25239","53","4","9",26323.243
"25240","54","4","10",22944.298
"25241","55","4","11",18242.275
"25242","56","4","12",24838.5
"25243","58","4","14",17054.15
"25244","101","7","12",53784.739
"25245","116","8","12",63378.481
"25246","51","4","7",33203.422
"25247","52","4","8",42796.439
"25248","59","4","15",11868.043
"25249","66","5","7",31881.864
"25250","67","5","8",41474.881
"25251","74","5","15",10546.485
"25252","187","13","7",35282.18
"25253","188","13","8",44875.197
"25254","194","13","15",13946.801
"25255","94","7","4",33052.04
"25256","95","7","5",31721.498
"25257","102","7","13",35098.268
"25258","109","8","4",42645.782
"25259","110","8","5",41315.24
"25260","117","8","13",44692.01
"25261","214","15","4",11740.967
"25262","215","15","5",10410.425
"25263","223","15","13",13787.195
"25264","94","7","4",33052.04
"25265","95","7","5",31721.498
"25266","102","7","13",35098.268
"25267","109","8","4",42645.782
"25268","110","8","5",41315.24
"25269","117","8","13",44692.01
"25270","214","15","4",11740.967
"25271","215","15","5",10410.425
"25272","223","15","13",13787.195
"25273","14","1","15",21988.005
"25274","29","2","15",20126.828
"25275","44","3","15",24813.45
"25276","51","4","7",33203.422
"25277","52","4","8",42796.439
"25278","59","4","15",11868.043
"25279","66","5","7",31881.864
"25280","67","5","8",41474.881
"25281","74","5","15",10546.485
"25282","89","6","15",19696.175
"25283","134","9","15",36047.169
"25284","149","10","15",32653.992
"25285","164","11","15",27771.714
"25286","187","13","7",35282.18
"25287","188","13","8",44875.197
"25288","194","13","15",13946.801
"25289","94","7","4",33052.04
"25290","95","7","5",31721.498
"25291","102","7","13",35098.268
"25292","109","8","4",42645.782
"25293","110","8","5",41315.24
"25294","117","8","13",44692.01
"25295","214","15","4",11740.967
"25296","215","15","5",10410.425
"25297","223","15","13",13787.195
"25298","51","4","7",33203.422
"25299","52","4","8",42796.439
"25300","59","4","15",11868.043
"25301","66","5","7",31881.864
"25302","67","5","8",41474.881
"25303","74","5","15",10546.485
"25304","187","13","7",35282.18
"25305","188","13","8",44875.197
"25306","194","13","15",13946.801
"25307","49","4","5",1578.551
"25308","51","4","7",33203.422
"25309","52","4","8",42796.439
"25310","59","4","15",11868.043
"25311","64","5","4",1587.535
"25312","94","7","4",33052.04
"25313","109","8","4",42645.782
"25314","214","15","4",11740.967
"25315","14","1","15",21988.005
"25316","29","2","15",20126.828
"25317","44","3","15",24813.45
"25318","51","4","7",33203.422
"25319","52","4","8",42796.439
"25320","59","4","15",11868.043
"25321","66","5","7",31881.864
"25322","67","5","8",41474.881
"25323","74","5","15",10546.485
"25324","89","6","15",19696.175
"25325","134","9","15",36047.169
"25326","149","10","15",32653.992
"25327","164","11","15",27771.714
"25328","187","13","7",35282.18
"25329","188","13","8",44875.197
"25330","194","13","15",13946.801
"25331","211","15","1",22062.643
"25332","212","15","2",19429.851
"25333","213","15","3",24692.918
"25334","216","15","6",19363.74
"25335","219","15","9",35796.404
"25336","220","15","10",32417.459
"25337","221","15","11",27715.436
"25338","225","15","16",7970.342
